row,query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,query_length
501,Medical nutrition therapy for a 7-month-old preterm infant with cholestatic liver disease in Kenya,therapy,5,Mistral,False,recommendation,['bilirubin'],True,13
502,Recommend MCT oil-fortified local porridges for a preterm infant with fat malabsorption in Nigeria,recommendation,4,Mistral,True,therapy,['fat'],True,14
503,Compare DHA content in maternal breast milk vs donor milk for preterm infants in Ghana,comparison,4,Mistral,True,recommendation,['dha'],False,13
504,How does caffeine therapy affect feeding tolerance in preterm infants?,general,4,Mistral,False,therapy,[],False,8
505,What is the role of probiotics in preventing necrotizing enterocolitis in preterms?,general,4,Mistral,False,recommendation,[],True,9
506,Nutrition therapy for a 6yo with type 1 diabetes and diabetic ketoacidosis recovery in India,therapy,5,Mistral,False,recommendation,['glucose','ketones'],True,12
507,Recommend low-glycemic, high-fiber snacks for a 10yo with T1D in South Africa,recommendation,4,Mistral,True,therapy,['glycemic_index','fiber'],True,12
508,Compare postprandial glucose curves for millet vs sorghum porridge in T1D children in Nigeria,comparison,4,Mistral,True,therapy,['glucose'],False,13
509,How does insulin pump therapy improve quality of life in pediatric T1D?,general,3,Mistral,False,recommendation,[],False,9
510,What is the target time-in-range for children with type 1 diabetes?,general,3,Mistral,False,therapy,['glucose'],False,9
511,Medical nutrition therapy for a 4yo with multiple food allergies and faltering weight in Kenya,therapy,5,Mistral,False,recommendation,[],True,12
512,Recommend calcium-fortified, allergy-safe breakfast options for a 6yo in Ghana,recommendation,4,Mistral,True,therapy,['calcium'],True,10
513,Compare allergenic potential of lupin vs soy in milk-allergic children in Nigeria,comparison,4,Mistral,True,recommendation,[],False,10
514,How effective is epicutaneous immunotherapy for peanut allergy?,general,4,Mistral,False,therapy,[],True,7
515,What nutrients require monitoring during oral immunotherapy?,general,4,Mistral,False,recommendation,['protein','calories'],False,7
516,Nutrition therapy for a 7yo with cystic fibrosis and CFRD on insulin in India,therapy,5,Mistral,False,recommendation,['hba1c'],True,11
517,Recommend high-energy, low-carb local meals for a child with CFRD in South Africa,recommendation,5,Mistral,True,therapy,['carbohydrate'],True,11
518,Compare glycemic impact of plantain vs yam in CFRD children in Kenya,comparison,4,Mistral,True,therapy,['glycemic_index'],False,11
519,How does CFRD affect pancreatic enzyme dosing?,general,4,Mistral,False,recommendation,[],False,7
520,What is the role of annual oral glucose tolerance test in CF?,general,4,Mistral,False,therapy,[],False,9
521,Medical nutrition therapy for a 5yo with phenylketonuria (Phe 520 µmol/L) in Nigeria,therapy,5,Mistral,False,recommendation,['phenylalanine'],True,11
522,Recommend low-Phe local grains for a child with PKU in Ghana,recommendation,5,Mistral,True,therapy,['phenylalanine'],True,10
523,Compare tyrosine content in medical formula vs natural foods for PKU in India,comparison,4,Mistral,True,recommendation,['tyrosine'],False,12
524,How is blood Phe monitored in resource-limited settings?,general,4,Mistral,False,therapy,['phenylalanine'],True,8
525,What are neurocognitive outcomes in late-diagnosed PKU?,general,4,Mistral,False,recommendation,[],True,7
526,Ketogenic diet for a 6yo with West syndrome in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,8
