row,query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,query_length
1,Medical nutrition therapy for a 6-month-old preterm infant (36 wks PMA) with faltering weight in Nigeria,therapy,5,Mistral,False,recommendation,[],True,16
2,Recommend high-energy weaning foods for a 9-month-old ex-preterm baby in Kenya,recommendation,4,Mistral,True,therapy,[],True,12
3,Compare energy density of fortified akamu vs commercial weanimix for preterm infants in Ghana,comparison,4,Mistral,True,recommendation,[],False,14
4,How does catch-up growth affect protein needs in preterm infants?,general,3,Mistral,False,therapy,['protein'],False,10
5,What vitamin D and calcium doses are recommended post-discharge for preterm infants in India?,recommendation,4,Mistral,True,therapy,['vitamin_d','calcium'],True,14
6,Compare iron absorption from fortified formula vs liver puree in preterm infants in South Africa,comparison,4,Mistral,True,recommendation,['iron'],False,14
7,Explain metabolic bone disease of prematurity and nutritional prevention,general,4,Mistral,False,therapy,['calcium','phosphate'],True,8
8,Nutrition support for a 4-month-old ex-28wk preterm with bronchopulmonary dysplasia in Bangladesh,therapy,5,Mistral,False,recommendation,[],True,13
9,Recommend appropriate portion sizes for solid foods in a 7-month-old ex-preterm in Nigeria,recommendation,3,TinyLlama,True,therapy,[],False,13
10,Compare zinc content in breast milk vs fortified preterm formula in Ghana,comparison,3,TinyLlama,True,recommendation,['zinc'],False,11
11,How does intrauterine growth restriction modify post-discharge nutrition needs?,general,4,Mistral,False,therapy,[],True,9
12,Medical nutrition therapy for a 5-month-old with preterm history and poor weight gain in Kenya,therapy,5,Mistral,False,recommendation,[],True,13
13,Recommend strategies to increase calorie density of local porridges for preterm infants in India,recommendation,4,Mistral,True,therapy,[],False,13
14,Compare protein quality of human milk vs donor milk for preterm infants in South Africa,comparison,4,Mistral,True,recommendation,['protein'],False,12
15,What are the risks of overfeeding preterm infants after NICU discharge?,general,3,Mistral,False,therapy,[],False,9
16,Nutrition therapy for a 6yo with type 1 diabetes (HbA1c 8.7%) on basal-bolus in Nigeria,therapy,5,Mistral,False,recommendation,['hba1c'],True,14
17,Recommend low-glycemic local snacks for a 7yo with T1D in Kenya,recommendation,4,Mistral,True,therapy,['glycemic_index'],True,12
18,Compare glycemic impact of boiled yam vs roasted plantain for a child with diabetes in Ghana,comparison,4,Mistral,True,therapy,['glycemic_index'],False,13
19,Explain carb counting principles for school-aged children with type 1 diabetes,general,3,Mistral,False,recommendation,[],False,9
20,How much insulin-to-carb ratio is typical for a 10yo with T1D?,recommendation,4,Mistral,True,therapy,['insulin'],True,11
21,Compare postprandial glucose response to maize porridge vs millet porridge in T1D children in India,comparison,4,Mistral,True,therapy,['glucose'],False,14
22,What role does continuous glucose monitoring play in pediatric diabetes meal planning?,general,4,Mistral,False,recommendation,[],False,11
23,Medical nutrition therapy for a 4yo with brittle diabetes and frequent hypoglycemia in South Africa,therapy,5,Mistral,False,recommendation,[],True,13
24,Recommend bedtime snacks to prevent nocturnal hypoglycemia in an 8yo with T1D in Bangladesh,recommendation,4,Mistral,True,therapy,[],True,13
25,Compare fiber content in whole wheat vs refined rice for glycemic control in T1D in Nigeria,comparison,3,TinyLlama,True,therapy,['fiber','glycemic_index'],False,14
26,How does exercise affect carbohydrate needs in children with type 1 diabetes?,general,3,Mistral,False,recommendation,[],False,10
27,Nutrition therapy for a 7yo with new-onset T1D and DKA recovery in Kenya,therapy,5,Mistral,False,recommendation,[],True,12
28,Recommend culturally appropriate carbohydrate exchanges for a 6yo with T1D in Ghana,recommendation,4,Mistral,True,therapy,['carbohydrate'],False,12
29,Compare sugar content in local fruit juices vs whole fruits for T1D children in India,comparison,3,TinyLlama,True,therapy,['sugar'],False,13
30,What nutrients are at risk in children with poorly controlled type 1 diabetes?,general,4,Mistral,False,recommendation,['vitamin_b1','magnesium'],True,10
31,Medical nutrition therapy for a 3yo with IgE-mediated cow’s milk allergy and eczema in Nigeria,therapy,5,Mistral,False,recommendation,[],True,14
32,Recommend calcium-rich dairy alternatives for a 5yo with multiple food allergies in Kenya,recommendation,5,Mistral,True,therapy,['calcium'],True,13
33,Compare protein quality of soy milk vs pea milk for a child with milk allergy in Ghana,comparison,4,Mistral,True,recommendation,['protein'],False,13
34,What nutrients are commonly deficient in children with food protein-induced enterocolitis syndrome?,general,4,Mistral,False,therapy,[],True,12
35,How to ensure adequate vitamin D intake in a child with multiple food allergies in India?,recommendation,4,Mistral,True,therapy,['vitamin_d'],True,13
36,Compare allergenicity risk of baked milk vs baked egg in tolerant children in South Africa,comparison,4,Mistral,True,therapy,[],False,12
