query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,query_length
Medical nutrition therapy for a 6-month-old preterm infant (36 wks PMA) with faltering weight in Nigeria,therapy,5,Mistral,False,recommendation,[],True,16
Recommend high-energy weaning foods for a 9-month-old ex-preterm baby in Kenya,recommendation,4,Mistral,True,therapy,[],True,12
Compare energy density of fortified akamu vs commercial weanimix for preterm infants in Ghana,comparison,4,Mistral,True,recommendation,[],False,14
How does catch-up growth affect protein needs in preterm infants?,general,3,Mistral,False,therapy,['protein'],False,10
"What vitamin D and calcium doses are recommended post-discharge for preterm infants in India?,recommendation",4,Mistral,True,therapy,['vitamin_d',['calcium'],True,14
Compare iron absorption from fortified formula vs liver puree in preterm infants in South Africa,comparison,4,Mistral,True,recommendation,['iron'],False,14
"Explain metabolic bone disease of prematurity and nutritional prevention,general",4,Mistral,False,therapy,['calcium',['phosphate'],True,8
Nutrition support for a 4-month-old ex-28wk preterm with bronchopulmonary dysplasia in Bangladesh,therapy,5,Mistral,False,recommendation,[],True,13
Recommend appropriate portion sizes for solid foods in a 7-month-old ex-preterm in Nigeria,recommendation,3,TinyLlama,True,therapy,[],False,13
Compare zinc content in breast milk vs fortified preterm formula in Ghana,comparison,3,TinyLlama,True,recommendation,['zinc'],False,11
How does intrauterine growth restriction modify post-discharge nutrition needs?,general,4,Mistral,False,therapy,[],True,9
Medical nutrition therapy for a 5-month-old with preterm history and poor weight gain in Kenya,therapy,5,Mistral,False,recommendation,[],True,13
Recommend strategies to increase calorie density of local porridges for preterm infants in India,recommendation,4,Mistral,True,therapy,[],False,13
Compare protein quality of human milk vs donor milk for preterm infants in South Africa,comparison,4,Mistral,True,recommendation,['protein'],False,12
What are the risks of overfeeding preterm infants after NICU discharge?,general,3,Mistral,False,therapy,[],False,9
Nutrition therapy for a 6yo with type 1 diabetes (HbA1c 8.7%) on basal-bolus in Nigeria,therapy,5,Mistral,False,recommendation,['hba1c'],True,14
Recommend low-glycemic local snacks for a 7yo with T1D in Kenya,recommendation,4,Mistral,True,therapy,['glycemic_index'],True,12
Compare glycemic impact of boiled yam vs roasted plantain for a child with diabetes in Ghana,comparison,4,Mistral,True,therapy,['glycemic_index'],False,13
Explain carb counting principles for school-aged children with type 1 diabetes,general,3,Mistral,False,recommendation,[],False,9
How much insulin-to-carb ratio is typical for a 10yo with T1D?,recommendation,4,Mistral,True,therapy,['insulin'],True,11
Compare postprandial glucose response to maize porridge vs millet porridge in T1D children in India,comparison,4,Mistral,True,therapy,['glucose'],False,14
What role does continuous glucose monitoring play in pediatric diabetes meal planning?,general,4,Mistral,False,recommendation,[],False,11
Medical nutrition therapy for a 4yo with brittle diabetes and frequent hypoglycemia in South Africa,therapy,5,Mistral,False,recommendation,[],True,13
Recommend bedtime snacks to prevent nocturnal hypoglycemia in an 8yo with T1D in Bangladesh,recommendation,4,Mistral,True,therapy,[],True,13
"Compare fiber content in whole wheat vs refined rice for glycemic control in T1D in Nigeria,comparison",3,TinyLlama,True,therapy,['fiber',['glycemic_index'],False,14
How does exercise affect carbohydrate needs in children with type 1 diabetes?,general,3,Mistral,False,recommendation,[],False,10
Nutrition therapy for a 7yo with new-onset T1D and DKA recovery in Kenya,therapy,5,Mistral,False,recommendation,[],True,12
Recommend culturally appropriate carbohydrate exchanges for a 6yo with T1D in Ghana,recommendation,4,Mistral,True,therapy,['carbohydrate'],False,12
Compare sugar content in local fruit juices vs whole fruits for T1D children in India,comparison,3,TinyLlama,True,therapy,['sugar'],False,13
"What nutrients are at risk in children with poorly controlled type 1 diabetes?,general",4,Mistral,False,recommendation,['vitamin_b1',['magnesium'],True,10
Medical nutrition therapy for a 3yo with IgE-mediated cow’s milk allergy and eczema in Nigeria,therapy,5,Mistral,False,recommendation,[],True,14
Recommend calcium-rich dairy alternatives for a 5yo with multiple food allergies in Kenya,recommendation,5,Mistral,True,therapy,['calcium'],True,13
Compare protein quality of soy milk vs pea milk for a child with milk allergy in Ghana,comparison,4,Mistral,True,recommendation,['protein'],False,13
What nutrients are commonly deficient in children with food protein-induced enterocolitis syndrome?,general,4,Mistral,False,therapy,[],True,12
How to ensure adequate vitamin D intake in a child with multiple food allergies in India?,recommendation,4,Mistral,True,therapy,['vitamin_d'],True,13
Compare allergenicity risk of baked milk vs baked egg in tolerant children in South Africa,comparison,4,Mistral,True,therapy,[],False,12
Explain the role of oral food challenges in food allergy management,general,3,Mistral,False,recommendation,[],False,9
Medical nutrition therapy for a 4yo with eosinophilic esophagitis and wheat allergy in Bangladesh,therapy,5,Mistral,False,recommendation,[],True,13
Recommend safe first foods for a 6-month-old with suspected FPIES to rice in Nigeria,recommendation,5,Mistral,True,therapy,[],True,14
Compare iron bioavailability in meat vs fortified cereals for a child with milk allergy in Kenya,comparison,4,Mistral,True,recommendation,['iron'],False,14
How does food allergy impact growth in early childhood?,general,3,Mistral,False,therapy,[],True,8
Nutrition therapy for a 5yo with multiple IgE-mediated food allergies and faltering weight in Ghana,therapy,5,Mistral,False,recommendation,[],True,14
"Recommend high-energy, allergy-safe snacks for school in India",recommendation,4,Mistral,True,therapy,[],False,9
Compare zinc content in pumpkin seeds vs lentils for a child with nut allergy in South Africa,comparison,3,TinyLlama,True,recommendation,['zinc'],False,13
What are safe sources of omega-3 for a child with fish allergy in Nigeria?,recommendation,4,Mistral,True,therapy,['omega_3'],False,12
Medical nutrition therapy for a 6yo with cystic fibrosis (pancreatic insufficient) and weight z-score -1.8 in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,16
"Recommend high-energy, enzyme-compatible meals for a 4yo with CF in Nigeria",recommendation,5,Mistral,True,therapy,[],True,11
Compare fat content in groundnut soup vs palm oil stew for a child with CF in Ghana,comparison,3,TinyLlama,True,therapy,['fat'],False,14
"How do pancreatic enzymes affect fat-soluble vitamin absorption in cystic fibrosis?,general,4,Mistral",False,therapy,['vitamin_a','vitamin_d','vitamin_e',['vitamin_k'],True,12
What vitamin K dose is recommended for children with cystic fibrosis in India?,recommendation,4,Mistral,True,therapy,['vitamin_k'],True,11
Compare salt loss in sweat between Nigerian vs Indian children with CF,comparison,3,TinyLlama,True,therapy,['sodium'],False,12
Why is vitamin K supplementation critical in cystic fibrosis?,general,3,Mistral,False,recommendation,['vitamin_k'],True,8
Medical nutrition therapy for a 7yo with CF-related diabetes in South Africa,therapy,5,Mistral,False,recommendation,['hba1c'],True,10
Recommend ways to increase calorie density of local meals for a child with CF in Bangladesh,recommendation,4,Mistral,True,therapy,[],False,13
Compare efficacy of different pancreatic enzyme brands with local diets in Nigeria,comparison,4,Mistral,True,therapy,[],False,11
"How does CF affect bone mineral density in children?,general",4,Mistral,False,therapy,['calcium',['vitamin_d'],True,9
Nutrition therapy for a 5yo with CF and recurrent pancreatitis in Kenya,therapy,5,Mistral,False,recommendation,[],True,11
"Recommend fat-soluble vitamin monitoring schedule for a child with CF in Ghana,recommendation,4,Mistral",True,therapy,['vitamin_a','vitamin_d','vitamin_e',['vitamin_k'],True,12
Compare energy needs of CF children vs healthy peers in India,comparison,3,TinyLlama,True,therapy,[],False,10
What are signs of essential fatty acid deficiency in cystic fibrosis?,general,3,Mistral,False,recommendation,['fatty_acids'],True,9
Medical nutrition therapy for a 5yo with PKU (Phe 380 µmol/L) in Nigeria,therapy,5,Mistral,False,recommendation,['phenylalanine'],True,11
