id,query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,has_biomarker
3137,Suggest foods from the Food Composition Table rich in vitamin B12 for elderly patients.,recommendation,4,TinyLlama,True,,[],False,False
401,What foods are high in vitamin K?,general,2,TinyLlama,False,therapy,['vitamin k'],False,True
470,What's the ideal iron intake for a vegetarian athlete?,recommendation,4,Mistral,True,,['iron'],False,True
118,How much iron should a vegetarian consume daily?,recommendation,3,Mistral,True,,['iron'],False,True
2639,Recommend a supplementation strategy for improving zinc status in malnutrition.,recommendation,4,TinyLlama,True,,['zinc'],False,True
2150,Outline a clinical nutrition plan for managing iron-deficiency anemia with low-phytate foods.,therapy,4,TinyLlama,True,,"['iron', 'phytate']",True,True
789,What daily vitamin D intake is recommended for people with osteoporosis?,recommendation,4,Mistral,True,,['vitamin d'],False,True
927,Diet therapy recommendations for ulcerative colitis with primary sclerosing cholangitis,therapy,5,Mistral,False,,[],True,False
1511,Design a dietary intervention for improving vitamin D status in osteoporosis.,therapy,5,TinyLlama,False,,['vitamin d'],True,True
390,Nutrition plan for NAFLD with metabolic syndrome,therapy,5,Mistral,False,,[],True,False
1399,Recommend dietary changes for reducing phytate intake in pregnant women.,recommendation,4,Mistral,True,,['phytate'],False,True
1141,What's the difference between probiotics and prebiotics?,general,3,Mistral,False,comparison,[],False,False
3400,What is the role of phytates in human biochemistry?,general,5,TinyLlama,False,,['phytate'],False,True
3014,Contrast vegetarian vs vegan for iron bioavailability in patients with anemia.,comparison,5,TinyLlama,True,,['iron'],False,True
167,How much magnesium should someone with muscle cramps consume daily?,recommendation,4,Mistral,True,,['magnesium'],False,True
1656,How can clinical dietitians use phytate composition data in patient care?,general,5,Mistral,False,,['phytate'],False,True
1227,Compare the effects of magnesium citrate and potassium chloride on calcium absorption.,comparison,3,TinyLlama,False,,"['calcium', 'magnesium', 'potassium']",False,True
3596,Outline a clinical nutrition plan for managing kidney stones with low-phytate foods.,therapy,4,Mistral,False,comparison,['phytate'],True,True
60,Which has lower oxalate: raw amaranth or cooked jute leaves?,comparison,3,TinyLlama,True,,[],False,False
2707,How should a patient with kidney stones adjust their diet to improve iron absorption?,therapy,1,TinyLlama,False,,['iron'],False,True
1316,How do the biochemical impacts of oxalate differ from magnesium in pediatric diets?,comparison,4,Mistral,True,,['magnesium'],False,True
933,Diet management recommendations for IBD with iron deficiency anemia (ferritin 10 ng/mL),therapy,5,Mistral,False,,"['ferritin', 'iron']",True,True
2143,Create a therapeutic meal plan for celiac disease based on the Food Composition Table.,therapy,4,Mistral,True,,[],True,False
2103,Create a therapeutic meal plan for osteoporosis based on the Food Composition Table.,therapy,1,Mistral,False,,[],False,False
2173,How should a patient with celiac disease adjust their meal plan to improve vitamin D absorption?,therapy,5,TinyLlama,False,,['vitamin d'],True,True
2918,How should a patient with kidney stones adjust their diet to improve iron absorption?,therapy,1,TinyLlama,True,general,['iron'],False,True
425,Explain the biochemical basis of kwashiorkor,general,5,Mistral,False,,[],False,False
3339,Create a therapeutic meal plan for kidney stones based on the Food Composition Table.,therapy,2,TinyLlama,True,,[],False,False
2336,Outline a clinical nutrition plan for managing osteoporosis with low-phytate foods.,therapy,4,Mistral,True,comparison,['phytate'],True,True
2630,Suggest plant-based alternatives high in vitamin B12 for osteoporosis.,recommendation,2,TinyLlama,False,,[],False,False
2656,Outline a clinical nutrition plan for managing osteoporosis with low-phytate foods.,therapy,5,TinyLlama,False,,['phytate'],True,True
3229,Suggest foods from the Food Composition Table rich in magnesium for children under 5.,recommendation,4,Mistral,False,,['magnesium'],False,True
302,"Tell me what's in avocado — vitamins, minerals, etc.",general,2,TinyLlama,False,,[],False,False
190,What's the ideal calcium intake for a child with hypocalcemia?,recommendation,5,Mistral,True,,['calcium'],False,True
1175,Can I eat cheese if I'm lactose intolerant?,general,2,TinyLlama,True,therapy,[],False,False
2142,Propose a therapy combining dietary and supplement interventions for iron-deficiency anemia.,therapy,2,TinyLlama,True,,['iron'],False,True
447,Compare glycemic index of boiled yam versus roasted plantain,comparison,3,TinyLlama,True,,[],False,False
134,What's the ideal protein intake for a 70kg Nigerian bodybuilder?,recommendation,4,Mistral,True,,['protein'],False,True
1540,How should a patient with celiac disease adjust their diet to improve magnesium absorption?,therapy,3,TinyLlama,False,,['magnesium'],False,True
1103,How does the protein content of chicken compare to beef per 100g?,comparison,2,TinyLlama,False,recommendation,['protein'],False,True
1523,How should a patient with osteoporosis adjust their diet to improve magnesium absorption?,therapy,4,TinyLlama,False,,['magnesium'],True,True
3070,"Among them, option shows elevated protein digestibility: brown rice or sorghum?",comparison,2,Mistral,False,,['protein'],False,True
1654,How can clinical dietitians use phytate composition data in patient care?,general,5,Mistral,True,,['phytate'],False,True
1034,What is the amino acid profile of cowpea?,general,3,Mistral,False,,[],False,False
2934,Design a dietary intervention for improving magnesium status in iron-deficiency anemia.,therapy,5,Mistral,False,comparison,"['iron', 'magnesium']",True,True
3351,Create a therapeutic nutritional plan for osteoporosis based on the Food Composition Table.,therapy,1,Mistral,True,,[],False,False
272,What should I eat if I have propionic acidemia with carnitine 10 µmol/L?,therapy,5,Mistral,False,,[],True,False
254,Nutrition plan for CKD stage 4 with phosphorus 5.2 mg/dL,therapy,5,Mistral,False,,['phosphorus'],True,True
